RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
904,154,208,5,8,4.0,65,184.016,1:31.068,11,+1 Lap
904,815,10,11,9,2.0,65,184.648,1:30.756,11,+1 Lap
904,807,10,10,10,1.0,65,183.325,1:31.411,11,+1 Lap
904,18,1,8,11,0.0,65,185.042,1:30.563,11,+1 Lap
904,825,1,14,12,0.0,65,185.544,1:30.318,11,+1 Lap
904,13,3,9,13,0.0,65,185.236,1:30.468,11,+1 Lap
904,826,5,12,14,0.0,65,185.645,1:30.269,11,+1 Lap
904,813,208,22,15,0.0,65,183.679,1:31.235,11,+1 Lap
904,821,15,13,16,0.0,65,184.832,1:30.666,11,+1 Lap
904,16,15,16,17,0.0,65,183.201,1:31.473,11,+1 Lap
904,824,206,18,18,0.0,64,182.580,1:31.784,12,+2 Laps
904,820,206,17,19,0.0,64,182.614,1:31.767,12,+2 Laps
904,828,207,19,20,0.0,64,179.517,1:33.350,12,+2 Laps
904,155,207,20,21,0.0,34,180.069,1:33.064,23,Brakes
904,818,5,21,22,0.0,24,182.586,1:31.781,43,Exhaust
905,3,131,1,1,25.0,78,151.388,1:19.425,1,Finished
905,1,131,2,2,18.0,78,151.510,1:19.361,1,Finished
905,817,9,3,3,15.0,78,151.718,1:19.252,1,Finished
905,4,6,5,4,12.0,78,150.814,1:19.727,1,Finished
905,807,10,11,5,10.0,77,148.872,1:20.767,11,+1 Lap
905,18,1,12,6,8.0,77,148.358,1:21.047,11,+1 Lap
905,13,3,16,7,6.0,77,149.712,1:20.314,11,+1 Lap
905,154,208,14,8,4.0,77,148.482,1:20.979,11,+1 Lap
905,824,206,21,9,2.0,77,147.980,1:21.254,11,+1 Lap
905,825,1,8,10,1.0,77,149.075,1:20.657,11,+1 Lap
905,828,207,22,11,0.0,77,148.607,1:20.911,11,+1 Lap
905,8,6,6,12,0.0,77,153.212,1:18.479,11,+1 Lap
905,155,207,20,13,0.0,75,145.878,1:22.425,12,+2 Laps
905,820,206,19,14,0.0,75,149.220,1:20.579,13,+3 Laps
905,821,15,17,15,0.0,59,148.177,1:21.146,3,Accident
905,822,3,13,16,0.0,55,148.252,1:21.105,5,Engine
905,818,5,7,17,0.0,50,148.292,1:21.083,5,Engine
905,16,15,18,18,0.0,23,147.062,1:21.761,3,Accident
905,826,5,9,19,0.0,10,146.614,1:22.011,26,Mechanical
905,20,9,4,20,0.0,5,100.615,1:59.505,101,Turbo
905,815,10,10,21,0.0,0,,,4,Collision
905,813,208,15,22,0.0,0,,,54,Withdrew
906,817,9,6,1,25.0,70,199.638,1:18.640,1,Finished
906,3,131,1,2,18.0,70,199.028,1:18.881,1,Finished
906,20,9,3,3,15.0,70,198.299,1:19.171,1,Finished
906,18,1,9,4,12.0,70,199.337,1:18.759,1,Finished
906,807,10,11,5,10.0,70,198.890,1:18.936,1,Finished
906,4,6,7,6,8.0,70,199.704,1:18.614,1,Finished
906,822,3,4,7,6.0,70,197.924,1:19.321,1,Finished
906,818,5,8,8,4.0,70,197.730,1:19.399,1,Finished
906,825,1,12,9,2.0,70,199.185,1:18.819,1,Finished
906,8,6,10,10,1.0,70,199.921,1:18.529,1,Finished
906,815,10,13,11,0.0,69,197.501,1:19.491,4,Collision
906,13,3,5,12,0.0,69,199.984,1:18.504,4,Collision
906,16,15,16,13,0.0,69,195.692,1:20.226,11,+1 Lap
906,821,15,22,14,0.0,64,195.970,1:20.112,132,ERS
906,154,208,14,15,0.0,59,197.107,1:19.650,65,Rear wing
906,826,5,15,16,0.0,47,196.298,1:19.978,79,Drivetrain
906,1,131,2,17,0.0,46,198.875,1:18.942,23,Brakes
906,155,207,21,18,0.0,23,188.856,1:23.130,22,Suspension
906,813,208,17,19,0.0,21,192.600,1:21.514,131,Power Unit
906,828,207,20,20,0.0,7,141.385,1:51.041,101,Turbo
906,820,206,18,21,0.0,0,,,4,Collision
906,824,206,19,22,0.0,0,,,4,Collision
907,3,131,3,1,25.0,71,214.518,1:12.598,1,Finished
907,1,131,9,2,18.0,71,215.650,1:12.217,1,Finished
907,822,3,2,3,15.0,71,214.568,1:12.581,1,Finished
907,13,3,1,4,12.0,71,214.553,1:12.586,1,Finished
907,4,6,4,5,10.0,71,214.527,1:12.595,1,Finished
907,815,10,15,6,8.0,71,215.874,1:12.142,1,Finished
907,825,1,6,7,6.0,71,214.081,1:12.746,1,Finished
907,817,9,5,8,4.0,71,213.161,1:13.060,1,Finished
907,807,10,10,9,2.0,71,212.882,1:13.156,1,Finished
907,8,6,8,10,1.0,71,213.676,1:12.884,1,Finished
907,18,1,11,11,0.0,71,213.752,1:12.858,1,Finished
907,813,208,13,12,0.0,70,212.791,1:13.187,11,+1 Lap
907,16,15,16,13,0.0,70,211.284,1:13.709,11,+1 Lap
907,154,208,22,14,0.0,70,210.587,1:13.953,11,+1 Lap
907,824,206,18,15,0.0,69,209.108,1:14.476,12,+2 Laps
907,155,207,19,16,0.0,69,206.892,1:15.274,12,+2 Laps
907,820,206,21,17,0.0,69,208.072,1:14.847,12,+2 Laps
907,828,207,20,18,0.0,69,208.560,1:14.672,12,+2 Laps
907,821,15,17,19,0.0,69,210.351,1:14.036,12,+2 Laps
907,818,5,14,20,0.0,59,212.414,1:13.317,23,Brakes
907,20,9,12,21,0.0,34,209.734,1:14.254,10,Electrical
907,826,5,7,22,0.0,24,209.514,1:14.332,22,Suspension
908,1,131,6,1,25.0,52,218.239,1:37.176,1,Finished
908,822,3,14,2,18.0,52,215.822,1:38.264,1,Finished
908,817,9,8,3,15.0,52,215.395,1:38.459,1,Finished
908,18,1,3,4,12.0,52,215.778,1:38.284,1,Finished
908,20,9,2,5,10.0,52,217.556,1:37.481,1,Finished
908,4,6,16,6,8.0,52,215.115,1:38.587,1,Finished
908,825,1,5,7,6.0,52,214.919,1:38.677,1,Finished
908,807,10,4,8,4.0,52,215.032,1:38.625,1,Finished
908,826,5,9,9,2.0,52,215.509,1:38.407,1,Finished
908,818,5,10,10,1.0,51,213.654,1:39.261,11,+1 Lap
908,815,10,7,11,0.0,51,214.834,1:38.716,11,+1 Lap
908,154,208,11,12,0.0,51,214.393,1:38.919,11,+1 Lap
908,16,15,13,13,0.0,51,211.989,1:40.041,11,+1 Lap
908,824,206,12,14,0.0,51,212.158,1:39.961,11,+1 Lap
