RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
196,44,20,18,14,0.0,49,,,36,Wheel
196,23,17,16,15,0.0,44,,,22,Suspension
196,25,22,6,16,0.0,42,,,20,Spun off
196,76,24,17,17,0.0,30,,,22,Suspension
196,14,1,2,18,0.0,17,,,5,Engine
196,22,24,14,19,0.0,11,,,22,Suspension
196,49,3,5,20,0.0,5,,,4,Collision
196,74,18,21,21,0.0,0,,,20,Spun off
196,73,25,0,22,0.0,0,,,81,Did not qualify
197,30,6,3,1,10.0,69,,,1,Finished
197,21,22,4,2,6.0,69,,,1,Finished
197,56,6,8,3,4.0,69,,,1,Finished
197,25,22,11,4,3.0,69,,,1,Finished
197,22,24,13,5,2.0,69,,,1,Finished
197,76,24,20,6,1.0,68,,,11,+1 Lap
197,75,18,18,7,0.0,68,,,11,+1 Lap
197,73,25,22,8,0.0,68,,,11,+1 Lap
197,64,21,19,9,0.0,68,,,11,+1 Lap
197,35,3,6,10,0.0,63,,,16,+6 Laps
197,74,18,21,11,0.0,53,,,10,Electrical
197,71,17,10,12,0.0,42,,,10,Electrical
197,44,20,15,13,0.0,39,,,20,Spun off
197,49,3,7,14,0.0,20,,,20,Spun off
197,14,1,1,15,0.0,18,,,37,Throttle
197,65,15,12,16,0.0,18,,,20,Spun off
197,63,21,17,17,0.0,18,,,3,Accident
197,57,1,2,18,0.0,0,,,6,Gearbox
197,23,17,5,19,0.0,0,,,6,Gearbox
197,55,15,9,20,0.0,0,,,4,Collision
197,15,20,14,21,0.0,0,,,4,Collision
197,68,25,16,22,0.0,0,,,7,Transmission
198,30,6,2,1,10.0,71,,,1,Finished
198,56,6,4,2,6.0,71,,,1,Finished
198,57,1,1,3,4.0,71,,,1,Finished
198,35,3,5,4,3.0,71,,,1,Finished
198,25,22,10,5,2.0,70,,,11,+1 Lap
198,14,1,3,6,1.0,70,,,11,+1 Lap
198,55,15,11,7,0.0,70,,,11,+1 Lap
198,65,15,13,8,0.0,70,,,11,+1 Lap
198,21,22,9,9,0.0,70,,,11,+1 Lap
198,22,24,14,10,0.0,69,,,12,+2 Laps
198,44,20,16,11,0.0,69,,,12,+2 Laps
198,50,24,15,12,0.0,69,,,12,+2 Laps
198,63,21,19,13,0.0,69,,,12,+2 Laps
198,64,21,17,14,0.0,69,,,12,+2 Laps
198,49,3,8,15,0.0,68,,,22,Suspension
198,23,17,6,16,0.0,68,,,13,+3 Laps
198,75,18,21,17,0.0,65,,,5,Engine
198,68,25,20,18,0.0,60,,,5,Engine
198,15,20,12,19,0.0,55,,,20,Spun off
198,74,18,22,20,0.0,41,,,6,Gearbox
198,71,17,7,21,0.0,19,,,9,Hydraulics
198,73,25,18,22,0.0,16,,,9,Hydraulics
199,30,6,2,1,10.0,60,,,1,Finished
