RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POSITION,POINTS,STATUSID,STATUS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,ESTIMATED_FINISH_TIME,ESTIMATED_FINISH_TIME_STR,AVG_LAP_TIME
902,822,3,3,8,8.0,4.0,1,Finished,57,195.296,1:39.762,6014.619,0 days 01:40:14.619000,105.51963157894735
902,4,6,9,9,9.0,2.0,1,Finished,57,195.355,1:39.732,6015.338,0 days 01:40:15.338000,105.53224561403508
902,8,6,5,10,10.0,1.0,1,Finished,57,195.933,1:39.438,6016.205,0 days 01:40:16.205000,105.54745614035087
902,826,5,12,11,11.0,0.0,1,Finished,57,194.52,1:40.160,6024.085,0 days 01:40:24.085000,105.68570175438596
902,154,208,16,12,12.0,0.0,1,Finished,57,195.923,1:39.443,6025.886,0 days 01:40:25.886000,105.71729824561405
902,820,206,21,13,13.0,0.0,1,Finished,57,191.34,1:41.825,6042.652,0 days 01:40:42.652000,106.01143859649125
902,813,208,17,14,14.0,0.0,1,Finished,57,195.484,1:39.666,6045.546,0 days 01:40:45.546000,106.0622105263158
902,155,207,18,15,15.0,0.0,1,Finished,57,192.434,1:41.246,6070.643,0 days 01:41:10.643000,106.50250877192984
902,824,206,19,16,16.0,0.0,11,+1 Lap,56,190.684,1:42.175,6661.193,0 days 01:51:01.193000,108.20651785714286
902,18,1,6,17,17.0,0.0,8,Clutch,55,195.683,1:39.565,6738.696,0 days 01:52:18.696000,106.50696363636364
902,825,1,8,18,,0.0,8,Clutch,40,194.621,1:40.108,9236.952,0 days 02:33:56.952000,103.87935
902,821,15,15,19,,0.0,4,Collision,39,193.481,1:40.698,9432.027,0 days 02:37:12.027000,104.07179487179488
902,828,207,20,20,,0.0,31,Retired,33,192.647,1:41.134,10635.781,0 days 02:57:15.781000,105.41957575757576
902,818,5,14,21,,0.0,31,Retired,18,191.669,1:41.650,13840.769,0 days 03:50:40.769000,109.37861111111113
902,16,15,22,22,,0.0,4,Collision,17,191.403,1:41.791,14887.109,0 days 04:08:07.109000,116.07882352941176
903,1,131,1,1,1.0,25.0,1,Finished,54,193.916,1:41.196,5812.81,0 days 01:36:52.810000,107.64462962962963
903,3,131,4,2,2.0,18.0,1,Finished,54,195.45,1:40.402,5831.496,0 days 01:37:11.496000,107.99066666666668
903,4,6,5,3,3.0,15.0,1,Finished,54,192.235,1:42.081,5838.575,0 days 01:37:18.575000,108.12175925925924
903,817,9,2,4,4.0,12.0,1,Finished,54,193.387,1:41.473,5839.788,0 days 01:37:19.788000,108.1442222222222
903,20,9,3,5,5.0,10.0,1,Finished,54,192.07,1:42.169,5863.822,0 days 01:37:43.822000,108.5892962962963
903,807,10,8,6,6.0,8.0,1,Finished,54,191.218,1:42.624,5870.391,0 days 01:37:50.391000,108.71094444444444
903,822,3,7,7,7.0,6.0,1,Finished,54,191.151,1:42.660,5870.955,0 days 01:37:50.955000,108.72138888888888
903,8,6,11,8,8.0,4.0,1,Finished,54,191.824,1:42.300,5896.8,0 days 01:38:16.800000,109.2
903,815,10,16,9,9.0,2.0,1,Finished,54,191.959,1:42.228,5899.299,0 days 01:38:19.299000,109.24627777777778
903,826,5,13,10,10.0,1.0,11,+1 Lap,53,189.899,1:43.337,6403.246,0 days 01:46:43.246000,109.79501886792454
