RACEID,DRIVERID,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR
1121,830,1.0,0 days 01:31:44.742000,01:31:44.742000
1121,815,2.0,0 days 01:32:07.199000,01:32:07.199000
1121,832,3.0,0 days 01:32:09.852000,01:32:09.852000
1121,844,4.0,0 days 01:32:24.411000,01:32:24.411000
1121,847,5.0,0 days 01:32:31.530000,01:32:31.530000
1121,846,6.0,0 days 01:32:33.200000,01:32:33.200000
1121,1,7.0,0 days 01:32:35.066000,01:32:35.066000
1121,857,8.0,0 days 01:32:40.824000,01:32:40.824000
1121,4,9.0,0 days 01:32:59.629000,01:32:59.629000
1121,840,10.0,0 days 01:33:17.958000,01:33:17.958000
1121,855,11.0,0 days 01:31:51.501000,01:31:51.501000
1121,825,12.0,0 days 01:31:53.058000,01:31:53.058000
1121,817,13.0,0 days 01:31:53.700000,01:31:53.700000
1121,852,14.0,0 days 01:31:54.224000,01:31:54.224000
1121,848,15.0,0 days 01:31:56.628000,01:31:56.628000
1121,807,16.0,0 days 01:32:02.374000,01:32:02.374000
1121,839,17.0,0 days 01:32:16.192000,01:32:16.192000
1121,842,18.0,0 days 01:32:17.159000,01:32:17.159000
1121,822,19.0,0 days 01:33:07.972000,01:33:07.972000
1121,858,20.0,0 days 01:32:05.537000,01:32:05.537000
1122,830,1.0,0 days 01:20:43.273000,01:20:43.273000
1122,815,2.0,0 days 01:20:51.916000,01:20:51.916000
1122,844,3.0,0 days 01:21:01.912000,01:21:01.912000
1122,857,4.0,0 days 01:21:15.280000,01:21:15.280000
1122,4,5.0,0 days 01:21:19.032000,01:21:19.032000
1122,847,6.0,0 days 01:21:23.209000,01:21:23.209000
1122,860,7.0,0 days 01:21:25.952000,01:21:25.952000
1122,846,8.0,0 days 01:21:28.981000,01:21:28.981000
1122,1,9.0,0 days 01:21:30.664000,01:21:30.664000
1122,807,10.0,0 days 01:22:00.269000,01:22:00.269000
1122,848,11.0,0 days 01:22:11.627000,01:22:11.627000
1122,825,12.0,0 days 01:22:09.010000,01:22:09.010000
1122,839,13.0,0 days 01:20:47.274000,01:20:47.274000
1122,858,14.0,0 days 01:20:50.058000,01:20:50.058000
1122,852,15.0,0 days 01:20:48.806000,01:20:48.806000
1122,817,16.0,0 days 01:21:03.988000,01:21:03.988000
1122,822,17.0,0 days 01:21:06.388000,01:21:06.388000
1122,855,18.0,0 days 01:21:12.826000,01:21:12.826000
1122,840,,0 days 00:08:05.608000,00:08:05.608000
1122,842,,0 days 00:02:01.453000,00:02:01.453000
1123,832,1.0,0 days 01:20:26.843000,01:20:26.843000
1123,844,2.0,0 days 01:20:29.209000,01:20:29.209000
1123,846,3.0,0 days 01:20:32.747000,01:20:32.747000
1123,857,4.0,0 days 01:21:02.613000,01:21:02.613000
1123,815,5.0,0 days 01:21:23.152000,01:21:23.152000
1123,840,6.0,0 days 01:22:00.065000,01:22:00.065000
1123,852,7.0,0 days 01:22:02.444000,01:22:02.444000
1123,4,8.0,0 days 01:21:47.835000,01:21:47.835000
1123,807,9.0,0 days 01:22:11.396000,01:22:11.396000
1123,825,10.0,0 days 01:20:30.924000,01:20:30.924000
1123,848,11.0,0 days 01:20:31.852000,01:20:31.852000
1123,817,12.0,0 days 01:20:38.351000,01:20:38.351000
1123,842,13.0,0 days 01:21:02.796000,01:21:02.796000
1123,822,14.0,0 days 01:21:09.169000,01:21:09.169000
1123,855,15.0,0 days 01:21:11.136000,01:21:11.136000
1123,839,16.0,0 days 01:21:20.822000,01:21:20.822000
1123,847,17.0,0 days 01:18:04.734000,01:18:04.734000
1123,1,,0 days 00:21:18.426000,00:21:18.426000
1123,830,,0 days 00:04:14.672000,00:04:14.672000
1124,830,1.0,0 days 01:54:23.566000,01:54:23.566000
1124,815,2.0,0 days 01:54:36.101000,01:54:36.101000
1124,832,3.0,0 days 01:54:44.432000,01:54:44.432000
1124,844,4.0,0 days 01:54:50.088000,01:54:50.088000
1124,846,5.0,0 days 01:54:53.266000,01:54:53.266000
1124,4,6.0,0 days 01:55:07.838000,01:55:07.838000
1124,847,7.0,0 days 01:55:09.517000,01:55:09.517000
1124,857,8.0,0 days 01:55:11.091000,01:55:11.091000
1124,1,9.0,0 days 01:55:12.192000,01:55:12.192000
1124,852,10.0,0 days 01:54:25.168000,01:54:25.168000
1124,807,11.0,0 days 01:54:30.734000,01:54:30.734000
1124,840,12.0,0 days 01:54:34.799000,01:54:34.799000
1124,825,13.0,0 days 01:54:41.485000,01:54:41.485000
1124,822,14.0,0 days 01:54:42.459000,01:54:42.459000
1124,839,15.0,0 days 01:55:04.718000,01:55:04.718000
1124,842,16.0,0 days 01:55:18.632000,01:55:18.632000
1124,858,17.0,0 days 01:55:36.331000,01:55:36.331000
1124,855,,0 days 00:49:29.022000,00:49:29.022000
1125,830,1.0,0 days 01:40:52.554000,01:40:52.554000
1125,846,2.0,0 days 01:41:06.327000,01:41:06.327000
1125,815,3.0,0 days 01:41:11.714000,01:41:11.714000
1125,844,4.0,0 days 01:41:16.177000,01:41:16.177000
1125,832,5.0,0 days 01:41:26.537000,01:41:26.537000
1125,847,6.0,0 days 01:41:31.278000,01:41:31.278000
1125,4,7.0,0 days 01:41:35.968000,01:41:35.968000
1125,857,8.0,0 days 01:41:48.752000,01:41:48.752000
1125,1,9.0,0 days 01:41:50.540000,01:41:50.540000
1125,807,10.0,0 days 01:41:53.030000,01:41:53.030000
1125,839,11.0,0 days 01:41:55.366000,01:41:55.366000
1125,848,12.0,0 days 01:41:58.060000,01:41:58.060000
1125,842,13.0,0 days 01:42:01.777000,01:42:01.777000
1125,855,14.0,0 days 01:42:04.243000,01:42:04.243000
1125,840,15.0,0 days 01:42:15.340000,01:42:15.340000
1125,825,16.0,0 days 01:42:10.087000,01:42:10.087000
1125,858,17.0,0 days 01:42:17.664000,01:42:17.664000
1125,817,,0 days 01:03:17.069000,01:03:17.069000
1125,822,,0 days 00:32:58.520000,00:32:58.520000
1125,852,,0 days 00:48:07.215000,00:48:07.215000
1126,846,1.0,0 days 01:30:49.876000,01:30:49.876000
1126,830,2.0,0 days 01:30:57.488000,01:30:57.488000
