RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR
905,825,1,8,10,1.0,77,149.075,1:20.657,11,+1 Lap,10.0,0 days 01:50:15.783000,01:50:15.783000
905,828,207,22,11,0.0,77,148.607,1:20.911,11,+1 Lap,11.0,0 days 01:50:26.405000,01:50:26.405000
905,8,6,6,12,0.0,77,153.212,1:18.479,11,+1 Lap,12.0,0 days 01:50:27.015000,01:50:27.015000
905,155,207,20,13,0.0,75,145.878,1:22.425,12,+2 Laps,13.0,0 days 01:49:46.283000,01:49:46.283000
905,820,206,19,14,0.0,75,149.22,1:20.579,13,+3 Laps,14.0,0 days 01:50:35.832000,01:50:35.832000
905,821,15,17,15,0.0,59,148.177,1:21.146,3,Accident,,0 days 01:25:06.761000,01:25:06.761000
905,822,3,13,16,0.0,55,148.252,1:21.105,5,Engine,,0 days 01:19:38.327000,01:19:38.327000
905,818,5,7,17,0.0,50,148.292,1:21.083,5,Engine,,0 days 01:12:57.113000,01:12:57.113000
905,16,15,18,18,0.0,23,147.062,1:21.761,3,Accident,,0 days 00:33:47.324000,00:33:47.324000
905,826,5,9,19,0.0,10,146.614,1:22.011,26,Mechanical,,0 days 00:15:41.144000,00:15:41.144000
905,20,9,4,20,0.0,5,100.615,1:59.505,101,Turbo,,0 days 00:10:02.212000,00:10:02.212000
905,815,10,10,21,0.0,0,,,4,Collision,,,
905,813,208,15,22,0.0,0,,,54,Withdrew,,,
906,817,9,6,1,25.0,70,199.638,1:18.640,1,Finished,1.0,0 days 01:39:12.830000,01:39:12.830000
906,3,131,1,2,18.0,70,199.028,1:18.881,1,Finished,2.0,0 days 01:39:17.066000,01:39:17.066000
906,20,9,3,3,15.0,70,198.299,1:19.171,1,Finished,3.0,0 days 01:39:18.077000,01:39:18.077000
906,18,1,9,4,12.0,70,199.337,1:18.759,1,Finished,4.0,0 days 01:39:24.585000,01:39:24.585000
906,807,10,11,5,10.0,70,198.89,1:18.936,1,Finished,5.0,0 days 01:39:25.673000,01:39:25.673000
906,4,6,7,6,8.0,70,199.704,1:18.614,1,Finished,6.0,0 days 01:39:27.699000,01:39:27.699000
906,822,3,4,7,6.0,70,197.924,1:19.321,1,Finished,7.0,0 days 01:39:36.408000,01:39:36.408000
906,818,5,8,8,4.0,70,197.73,1:19.399,1,Finished,8.0,0 days 01:39:40.856000,01:39:40.856000
906,825,1,12,9,2.0,70,199.185,1:18.819,1,Finished,9.0,0 days 01:39:42.084000,01:39:42.084000
906,8,6,10,10,1.0,70,199.921,1:18.529,1,Finished,10.0,0 days 01:40:06.508000,01:40:06.508000
906,815,10,13,11,0.0,69,197.501,1:19.491,4,Collision,11.0,0 days 01:37:39.665000,01:37:39.665000
906,13,3,5,12,0.0,69,199.984,1:18.504,4,Collision,12.0,0 days 01:37:39.815000,01:37:39.815000
906,16,15,16,13,0.0,69,195.692,1:20.226,11,+1 Lap,13.0,0 days 01:39:29.355000,01:39:29.355000
906,821,15,22,14,0.0,64,195.97,1:20.112,132,ERS,14.0,0 days 01:32:14.792000,01:32:14.792000
906,154,208,14,15,0.0,59,197.107,1:19.650,65,Rear wing,,0 days 01:25:12.836000,01:25:12.836000
906,826,5,15,16,0.0,47,196.298,1:19.978,79,Drivetrain,,0 days 01:09:16.358000,01:09:16.358000
906,1,131,2,17,0.0,46,198.875,1:18.942,23,Brakes,,0 days 01:06:51.734000,01:06:51.734000
906,155,207,21,18,0.0,23,188.856,1:23.130,22,Suspension,,0 days 00:36:40.904000,00:36:40.904000
906,813,208,17,19,0.0,21,192.6,1:21.514,131,Power Unit,,0 days 00:33:26.584000,00:33:26.584000
906,828,207,20,20,0.0,7,141.385,1:51.041,101,Turbo,,0 days 00:14:20.285000,00:14:20.285000
906,820,206,18,21,0.0,0,,,4,Collision,,,
906,824,206,19,22,0.0,0,,,4,Collision,,,
907,3,131,3,1,25.0,71,214.518,1:12.598,1,Finished,1.0,0 days 01:27:54.976000,01:27:54.976000
907,1,131,9,2,18.0,71,215.65,1:12.217,1,Finished,2.0,0 days 01:27:56.908000,01:27:56.908000
907,822,3,2,3,15.0,71,214.568,1:12.581,1,Finished,3.0,0 days 01:28:03.148000,01:28:03.148000
907,13,3,1,4,12.0,71,214.553,1:12.586,1,Finished,4.0,0 days 01:28:12.334000,01:28:12.334000
907,4,6,4,5,10.0,71,214.527,1:12.595,1,Finished,5.0,0 days 01:28:13.529000,01:28:13.529000
907,815,10,15,6,8.0,71,215.874,1:12.142,1,Finished,6.0,0 days 01:28:23.522000,01:28:23.522000
907,825,1,6,7,6.0,71,214.081,1:12.746,1,Finished,7.0,0 days 01:28:27.007000,01:28:27.007000
907,817,9,5,8,4.0,71,213.161,1:13.060,1,Finished,8.0,0 days 01:28:38.498000,01:28:38.498000
907,807,10,10,9,2.0,71,212.882,1:13.156,1,Finished,9.0,0 days 01:28:39.113000,01:28:39.113000
907,8,6,8,10,1.0,71,213.676,1:12.884,1,Finished,10.0,0 days 01:28:42.753000,01:28:42.753000
907,18,1,11,11,0.0,71,213.752,1:12.858,1,Finished,11.0,0 days 01:28:45.942000,01:28:45.942000
907,813,208,13,12,0.0,70,212.791,1:13.187,11,+1 Lap,12.0,0 days 01:28:08.413000,01:28:08.413000
907,16,15,16,13,0.0,70,211.284,1:13.709,11,+1 Lap,13.0,0 days 01:28:34.751000,01:28:34.751000
907,154,208,22,14,0.0,70,210.587,1:13.953,11,+1 Lap,14.0,0 days 01:29:09.548000,01:29:09.548000
907,824,206,18,15,0.0,69,209.108,1:14.476,12,+2 Laps,15.0,0 days 01:27:59.668000,01:27:59.668000
907,155,207,19,16,0.0,69,206.892,1:15.274,12,+2 Laps,16.0,0 days 01:28:31.645000,01:28:31.645000
907,820,206,21,17,0.0,69,208.072,1:14.847,12,+2 Laps,17.0,0 days 01:28:33.756000,01:28:33.756000
907,828,207,20,18,0.0,69,208.56,1:14.672,12,+2 Laps,18.0,0 days 01:28:41.191000,01:28:41.191000
907,821,15,17,19,0.0,69,210.351,1:14.036,12,+2 Laps,19.0,0 days 01:28:41.483000,01:28:41.483000
907,818,5,14,20,0.0,59,212.414,1:13.317,23,Brakes,,0 days 01:14:53.982000,01:14:53.982000
907,20,9,12,21,0.0,34,209.734,1:14.254,10,Electrical,,0 days 00:45:02.108000,00:45:02.108000
907,826,5,7,22,0.0,24,209.514,1:14.332,22,Suspension,,0 days 00:30:32.347000,00:30:32.347000
908,1,131,6,1,25.0,52,218.239,1:37.176,1,Finished,1.0,0 days 01:26:52.094000,01:26:52.094000
908,822,3,14,2,18.0,52,215.822,1:38.264,1,Finished,2.0,0 days 01:27:22.229000,01:27:22.229000
908,817,9,8,3,15.0,52,215.395,1:38.459,1,Finished,3.0,0 days 01:27:38.589000,01:27:38.589000
908,18,1,3,4,12.0,52,215.778,1:38.284,1,Finished,4.0,0 days 01:27:39.484000,01:27:39.484000
908,20,9,2,5,10.0,52,217.556,1:37.481,1,Finished,5.0,0 days 01:27:45.958000,01:27:45.958000
908,4,6,16,6,8.0,52,215.115,1:38.587,1,Finished,6.0,0 days 01:27:52.040000,01:27:52.040000
908,825,1,5,7,6.0,52,214.919,1:38.677,1,Finished,7.0,0 days 01:27:54.657000,01:27:54.657000
908,807,10,4,8,4.0,52,215.032,1:38.625,1,Finished,8.0,0 days 01:28:20.786000,01:28:20.786000
908,826,5,9,9,2.0,52,215.509,1:38.407,1,Finished,9.0,0 days 01:28:21.434000,01:28:21.434000
908,818,5,10,10,1.0,51,213.654,1:39.261,11,+1 Lap,10.0,0 days 01:26:55.203000,01:26:55.203000
908,815,10,7,11,0.0,51,214.834,1:38.716,11,+1 Lap,11.0,0 days 01:27:03.051000,01:27:03.051000
908,154,208,11,12,0.0,51,214.393,1:38.919,11,+1 Lap,12.0,0 days 01:27:05.820000,01:27:05.820000
908,16,15,13,13,0.0,51,211.989,1:40.041,11,+1 Lap,13.0,0 days 01:27:24.590000,01:27:24.590000
908,824,206,12,14,0.0,51,212.158,1:39.961,11,+1 Lap,14.0,0 days 01:27:58.536000,01:27:58.536000
908,155,207,22,15,0.0,50,209.02,1:41.462,12,+2 Laps,15.0,0 days 01:27:56.295000,01:27:56.295000
908,820,206,17,16,0.0,50,211.233,1:40.399,12,+2 Laps,16.0,0 days 01:28:27.554000,01:28:27.554000
908,813,208,20,17,0.0,49,211.412,1:40.314,13,+3 Laps,17.0,0 days 01:24:18.489000,01:24:18.489000
908,3,131,1,18,0.0,28,216.203,1:38.091,6,Gearbox,,0 days 00:47:04.788000,00:47:04.788000
908,828,207,21,19,0.0,11,203.295,1:44.319,22,Suspension,,0 days 00:20:14.818000,00:20:14.818000
908,821,15,19,20,0.0,9,206.77,1:42.566,4,Collision,,0 days 00:16:10.733000,00:16:10.733000
908,13,3,15,21,0.0,0,,,4,Collision,,,
908,8,6,18,22,0.0,0,,,4,Collision,,,
909,3,131,1,1,25.0,67,202.543,1:21.298,1,Finished,1.0,0 days 01:33:42.914000,01:33:42.914000
909,822,3,2,2,18.0,67,202.056,1:21.494,1,Finished,2.0,0 days 01:34:03.703000,01:34:03.703000
909,1,131,20,3,15.0,67,206.066,1:19.908,1,Finished,3.0,0 days 01:34:05.444000,01:34:05.444000
909,20,9,6,4,12.0,67,201.93,1:21.545,1,Finished,4.0,0 days 01:34:26.928000,01:34:26.928000
909,4,6,7,5,10.0,67,204.429,1:20.548,1,Finished,5.0,0 days 01:34:35.381000,01:34:35.381000
909,817,9,5,6,8.0,67,203.676,1:20.846,1,Finished,6.0,0 days 01:34:35.463000,01:34:35.463000
909,807,10,9,7,6.0,67,200.57,1:22.098,1,Finished,7.0,0 days 01:34:47.092000,01:34:47.092000
909,18,1,11,8,4.0,67,202.424,1:21.346,1,Finished,8.0,0 days 01:35:07.625000,01:35:07.625000
909,825,1,4,9,2.0,66,205.255,1:20.224,11,+1 Lap,9.0,0 days 01:33:45.841000,01:33:45.841000
909,815,10,10,10,1.0,66,203.913,1:20.752,11,+1 Lap,10.0,0 days 01:33:53.317000,01:33:53.317000
909,8,6,12,11,0.0,66,202.444,1:21.338,11,+1 Lap,11.0,0 days 01:34:01.664000,01:34:01.664000
909,813,208,18,12,0.0,66,200.065,1:22.305,11,+1 Lap,12.0,0 days 01:34:11.018000,01:34:11.018000
909,818,5,13,13,0.0,66,201.113,1:21.876,11,+1 Lap,13.0,0 days 01:34:11.755000,01:34:11.755000
909,821,15,16,14,0.0,66,200.79,1:22.008,11,+1 Lap,14.0,0 days 01:34:18.091000,01:34:18.091000
909,824,206,17,15,0.0,66,199.539,1:22.522,11,+1 Lap,15.0,0 days 01:34:52.992000,01:34:52.992000
909,155,207,19,16,0.0,65,198.711,1:22.866,12,+2 Laps,16.0,0 days 01:34:09.390000,01:34:09.390000
909,820,206,21,17,0.0,65,198.306,1:23.035,12,+2 Laps,17.0,0 days 01:34:21.470000,01:34:21.470000
909,828,207,22,18,0.0,65,197.842,1:23.230,12,+2 Laps,18.0,0 days 01:34:50.325000,01:34:50.325000
909,16,15,15,19,0.0,47,199.522,1:22.529,23,Brakes,,0 days 01:07:40.429000,01:07:40.429000
909,826,5,8,20,0.0,44,200.372,1:22.179,44,Oil leak,,0 days 01:03:31.656000,01:03:31.656000
909,154,208,14,21,0.0,26,195.709,1:24.137,47,Water leak,,0 days 00:38:19.493000,00:38:19.493000
909,13,3,3,22,0.0,0,,,4,Collision,,,
910,817,9,4,1,25.0,70,182.103,1:26.608,1,Finished,1.0,0 days 01:53:05.058000,01:53:05.058000
910,4,6,5,2,18.0,70,180.413,1:27.419,1,Finished,2.0,0 days 01:53:10.283000,01:53:10.283000
910,1,131,22,3,15.0,70,180.494,1:27.380,1,Finished,3.0,0 days 01:53:10.915000,01:53:10.915000
910,3,131,1,4,12.0,70,183.981,1:25.724,1,Finished,4.0,0 days 01:53:11.419000,01:53:11.419000
910,13,3,6,5,10.0,70,178.757,1:28.229,1,Finished,5.0,0 days 01:53:34.899000,01:53:34.899000
910,8,6,16,6,8.0,70,179.257,1:27.983,1,Finished,6.0,0 days 01:53:36.549000,01:53:36.549000
910,20,9,2,7,6.0,70,177.716,1:28.746,1,Finished,7.0,0 days 01:53:46.022000,01:53:46.022000
910,822,3,3,8,4.0,70,181.595,1:26.850,1,Finished,8.0,0 days 01:53:46.402000,01:53:46.402000
910,818,5,8,9,2.0,70,176.97,1:29.120,1,Finished,9.0,0 days 01:54:03.585000,01:54:03.585000
910,18,1,7,10,1.0,70,176.898,1:29.156,1,Finished,10.0,0 days 01:54:12.338000,01:54:12.338000
910,16,15,11,11,0.0,70,177.8,1:28.704,1,Finished,11.0,0 days 01:54:13.227000,01:54:13.227000
910,825,1,21,12,0.0,70,177.442,1:28.883,1,Finished,12.0,0 days 01:54:23.523000,01:54:23.523000
910,813,208,20,13,0.0,70,176.954,1:29.128,1,Finished,13.0,0 days 01:54:29.082000,01:54:29.082000
910,826,5,10,14,0.0,69,176.414,1:29.401,11,+1 Lap,14.0,0 days 01:53:23.731000,01:53:23.731000
910,824,206,15,15,0.0,69,175.468,1:29.883,11,+1 Lap,15.0,0 days 01:53:53.390000,01:53:53.390000
910,820,206,18,16,0.0,69,176.22,1:29.499,11,+1 Lap,16.0,0 days 01:53:53.894000,01:53:53.894000
